Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-02,43.060001373291016,43.15999984741211,41.75,42.650001525878906,24374800,0,0
2021-12-03,42.81999969482422,43.099998474121094,41.0099983215332,42.06999969482422,26133700,0,0
2021-12-06,42.11000061035156,44.720001220703125,41.75,44.470001220703125,26228700,0,0
2021-12-07,45.06999969482422,46.34000015258789,44.31999969482422,44.459999084472656,21200500,0,0
2021-12-08,44.599998474121094,46.20000076293945,44.34000015258789,45.720001220703125,18408200,0,0
2021-12-09,47.209999084472656,48.220001220703125,46.40999984741211,46.459999084472656,26145200,0,0
2021-12-10,46.599998474121094,46.599998474121094,44.970001220703125,45.560001373291016,14060600,0,0
2021-12-13,45.54999923706055,45.900001525878906,43.779998779296875,44.599998474121094,11710300,0,0
2021-12-14,44.040000915527344,44.689998626708984,43.70000076293945,44.349998474121094,11205400,0,0
2021-12-15,44.0,44.2400016784668,42.7400016784668,44.06999969482422,14962100,0,0
2021-12-16,44.43000030517578,45.029998779296875,42.720001220703125,43.130001068115234,13052600,0,0
2021-12-17,42.70000076293945,44.029998779296875,41.630001068115234,43.06999969482422,29138000,0,0
2021-12-20,42.369998931884766,43.27000045776367,41.790000915527344,42.97999954223633,12319500,0,0
2021-12-21,43.22999954223633,44.45000076293945,42.72999954223633,44.36000061035156,9537400,0,0
2021-12-22,44.04999923706055,44.560001373291016,43.630001068115234,43.900001525878906,10134800,0,0
2021-12-23,44.0,44.529998779296875,43.0,44.15999984741211,8977600,0,0
2021-12-27,44.209999084472656,44.91999816894531,44.130001068115234,44.33000183105469,8589700,0,0
2021-12-28,44.209999084472656,44.779998779296875,43.22999954223633,43.43000030517578,8831000,0,0
2021-12-29,43.16999816894531,43.54999923706055,42.560001373291016,42.7599983215332,8732900,0,0
2021-12-30,42.77000045776367,45.09000015258789,42.630001068115234,44.459999084472656,14541100,0,0
2021-12-31,44.34000015258789,44.7599983215332,43.18000030517578,43.220001220703125,9829600,0,0
2022-01-03,43.5,43.689998626708984,42.47999954223633,42.65999984741211,14431900,0,0
2022-01-04,42.849998474121094,42.970001220703125,40.36000061035156,40.849998474121094,21422400,0,0
2022-01-05,40.79999923706055,41.880001068115234,39.45000076293945,39.5,22008600,0,0
2022-01-06,39.5,40.439998626708984,38.689998626708984,39.59000015258789,16613400,0,0
2022-01-07,39.650001525878906,40.689998626708984,39.31999969482422,39.66999816894531,14669900,0,0
2022-01-10,39.33000183105469,40.029998779296875,38.220001220703125,39.970001220703125,14997300,0,0
2022-01-11,39.790000915527344,40.939998626708984,39.599998474121094,40.65999984741211,13815400,0,0
2022-01-12,40.880001068115234,41.47999954223633,39.77000045776367,40.25,10439000,0,0
2022-01-13,40.150001525878906,40.34000015258789,38.61000061035156,38.70000076293945,15075600,0,0
2022-01-14,38.43000030517578,39.04999923706055,37.5099983215332,38.439998626708984,14849800,0,0
2022-01-18,37.720001220703125,38.20000076293945,37.130001068115234,37.29999923706055,14896800,0,0
2022-01-19,37.130001068115234,38.279998779296875,37.0099983215332,37.349998474121094,19798000,0,0
