Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-03,1838.52001953125,1860.3499755859375,1838.52001953125,1848.699951171875,5091760000,0,0
2020-12-04,1849.97998046875,1892.449951171875,1849.97998046875,1892.449951171875,5086370000,0,0
2020-12-07,1892.719970703125,1897.43994140625,1886.780029296875,1891.25,4788560000,0,0
2020-12-08,1890.5699462890625,1918.010009765625,1881.699951171875,1917.780029296875,4549670000,0,0
2020-12-09,1919.1600341796875,1935.27001953125,1889.3299560546875,1902.1500244140625,5209940000,0,0
2020-12-10,1901.3399658203125,1924.1199951171875,1887.68994140625,1922.699951171875,4618240000,0,0
2020-12-11,1921.27001953125,1926.72998046875,1896.02001953125,1911.699951171875,4367150000,0,0
2020-12-14,1914.1500244140625,1944.1199951171875,1913.8599853515625,1913.8599853515625,4594920000,0,0
2020-12-15,1915.9000244140625,1960.81005859375,1915.9000244140625,1959.760009765625,4360280000,0,0
2020-12-16,1961.260009765625,1966.1099853515625,1947.050048828125,1952.719970703125,4056950000,0,0
2020-12-17,1953.760009765625,1978.050048828125,1953.760009765625,1978.050048828125,4184930000,0,0
2020-12-18,1978.8900146484375,1992.719970703125,1965.6700439453125,1969.989990234375,7068340000,0,0
2020-12-21,1967.9300537109375,1970.6700439453125,1934.6600341796875,1970.3299560546875,4732160000,0,0
2020-12-22,1971.1800537109375,1992.5,1971.1800537109375,1989.8800048828125,4023940000,0,0
2020-12-23,1991.0999755859375,2011.8399658203125,1991.0999755859375,2007.0999755859375,3772630000,0,0
2020-12-24,2013.1800537109375,2013.969970703125,1997.1800537109375,2003.949951171875,1885090000,0,0
2020-12-28,2013.489990234375,2026.239990234375,1996.25,1996.25,3527460000,0,0
2020-12-29,1996.72998046875,2001.699951171875,1950.8199462890625,1959.3599853515625,3387030000,0,0
2020-12-30,1961.719970703125,1987.780029296875,1961.719970703125,1979.989990234375,3145200000,0,0
2020-12-31,1979.9300537109375,1981.4100341796875,1963.260009765625,1974.8599853515625,3172510000,0,0
2021-01-04,1975.780029296875,1990.699951171875,1927.1500244140625,1945.9100341796875,5006680000,0,0
2021-01-05,1945.7900390625,1988.760009765625,1943.68994140625,1979.1099853515625,4582620000,0,0
2021-01-06,1980.2900390625,2079.719970703125,1980.2900390625,2057.919921875,6049970000,0,0
2021-01-07,2059.330078125,2099.260009765625,2059.330078125,2096.889892578125,5080870000,0,0
2021-01-08,2098.449951171875,2113.8798828125,2064.610107421875,2091.659912109375,4764180000,0,0
2021-01-11,2088.800048828125,2095.39990234375,2061.639892578125,2091.010009765625,4450500000,0,0
2021-01-12,2091.7900390625,2128.389892578125,2091.7900390625,2127.9599609375,4977210000,0,0
2021-01-13,2128.169921875,2131.419921875,2109.719970703125,2111.969970703125,4590420000,0,0
2021-01-14,2113.6201171875,2164.320068359375,2113.6201171875,2155.35009765625,5180140000,0,0
2021-01-15,2154.68994140625,2154.68994140625,2102.530029296875,2123.199951171875,5353060000,0,0
2021-01-19,2125.510009765625,2152.35009765625,2125.510009765625,2151.139892578125,4982940000,0,0
2021-01-20,2152.300048828125,2173.72998046875,2149.989990234375,2160.6201171875,4551790000,0,0
2021-01-21,2161.300048828125,2167.030029296875,2138.030029296875,2141.419921875,4484460000,0,0
2021-01-22,2140.47998046875,2168.800048828125,2118.77001953125,2168.760009765625,5080430000,0,0
2021-01-25,2168.719970703125,2194.860107421875,2135.219970703125,2163.27001953125,6955860000,0,0
2021-01-26,2165.4599609375,2183.010009765625,2146.340087890625,2149.860107421875,6029090000,0,0
